Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS, , ,Attend.,Notes
"Tue, Oct 25, 2016",7:30p,New York Knicks,88,Cleveland Cavaliers,117,"['Box Score', '/boxscores/201610250CLE.html']",,"20,562",
"Tue, Oct 25, 2016",10:00p,Utah Jazz,104,Portland Trail Blazers,113,"['Box Score', '/boxscores/201610250POR.html']",,"19,446",
"Tue, Oct 25, 2016",10:30p,San Antonio Spurs,129,Golden State Warriors,100,"['Box Score', '/boxscores/201610250GSW.html']",,"19,596",
"Wed, Oct 26, 2016",7:00p,Dallas Mavericks,121,Indiana Pacers,130,"['Box Score', '/boxscores/201610260IND.html']",OT,"17,923",
"Wed, Oct 26, 2016",7:00p,Miami Heat,108,Orlando Magic,96,"['Box Score', '/boxscores/201610260ORL.html']",,"19,298",
"Wed, Oct 26, 2016",7:30p,Detroit Pistons,91,Toronto Raptors,109,"['Box Score', '/boxscores/201610260TOR.html']",,"19,800",
"Wed, Oct 26, 2016",7:30p,Brooklyn Nets,117,Boston Celtics,122,"['Box Score', '/boxscores/201610260BOS.html']",,"18,624",
"Wed, Oct 26, 2016",8:00p,Charlotte Hornets,107,Milwaukee Bucks,96,"['Box Score', '/boxscores/201610260MIL.html']",,"18,717",
"Wed, Oct 26, 2016",8:00p,Denver Nuggets,107,New Orleans Pelicans,102,"['Box Score', '/boxscores/201610260NOP.html']",,"15,869",
"Wed, Oct 26, 2016",8:00p,Minnesota Timberwolves,98,Memphis Grizzlies,102,"['Box Score', '/boxscores/201610260MEM.html']",,"18,119",
"Wed, Oct 26, 2016",8:00p,Oklahoma City Thunder,103,Philadelphia 76ers,97,"['Box Score', '/boxscores/201610260PHI.html']",,"20,487",
"Wed, Oct 26, 2016",10:00p,Sacramento Kings,113,Phoenix Suns,94,"['Box Score', '/boxscores/201610260PHO.html']",,"18,055",
"Wed, Oct 26, 2016",10:30p,Houston Rockets,114,Los Angeles Lakers,120,"['Box Score', '/boxscores/201610260LAL.html']",,"18,997",
"Thu, Oct 27, 2016",7:30p,Washington Wizards,99,Atlanta Hawks,114,"['Box Score', '/boxscores/201610270ATL.html']",,"19,049",
"Thu, Oct 27, 2016",8:00p,Boston Celtics,99,Chicago Bulls,105,"['Box Score', '/boxscores/201610270CHI.html']",,"21,501",
"Thu, Oct 27, 2016",10:30p,Los Angeles Clippers,114,Portland Trail Blazers,106,"['Box Score', '/boxscores/201610270POR.html']",,"19,500",
"Thu, Oct 27, 2016",10:30p,San Antonio Spurs,102,Sacramento Kings,94,"['Box Score', '/boxscores/201610270SAC.html']",,"17,608",
"Fri, Oct 28, 2016",7:00p,Cleveland Cavaliers,94,Toronto Raptors,91,"['Box Score', '/boxscores/201610280TOR.html']",,"19,800",
"Fri, Oct 28, 2016",7:30p,Indiana Pacers,94,Brooklyn Nets,103,"['Box Score', '/boxscores/201610280BRK.html']",,"17,732",
"Fri, Oct 28, 2016",7:30p,Orlando Magic,82,Detroit Pistons,108,"['Box Score', '/boxscores/201610280DET.html']",,"19,122",
"Fri, Oct 28, 2016",8:00p,Phoenix Suns,110,Oklahoma City Thunder,113,"['Box Score', '/boxscores/201610280OKC.html']",OT,"18,203",
"Fri, Oct 28, 2016",8:00p,Charlotte Hornets,97,Miami Heat,91,"['Box Score', '/boxscores/201610280MIA.html']",,"19,600",
"Fri, Oct 28, 2016",8:30p,Houston Rockets,106,Dallas Mavericks,98,"['Box Score', '/boxscores/201610280DAL.html']",,"20,163",
"Fri, Oct 28, 2016",9:00p,Los Angeles Lakers,89,Utah Jazz,96,"['Box Score', '/boxscores/201610280UTA.html']",,"19,911",
"Fri, Oct 28, 2016",9:30p,Golden State Warriors,122,New Orleans Pelicans,114,"['Box Score', '/boxscores/201610280NOP.html']",,"18,217",
"Sat, Oct 29, 2016",12:30p,Atlanta Hawks,104,Philadelphia 76ers,72,"['Box Score', '/boxscores/201610290PHI.html']",,"16,312",
"Sat, Oct 29, 2016",7:00p,Boston Celtics,104,Charlotte Hornets,98,"['Box Score', '/boxscores/201610290CHO.html']",,"18,708",
"Sat, Oct 29, 2016",7:30p,Orlando Magic,99,Cleveland Cavaliers,105,"['Box Score', '/boxscores/201610290CLE.html']",,"20,562",
"Sat, Oct 29, 2016",7:30p,Memphis Grizzlies,104,New York Knicks,111,"['Box Score', '/boxscores/201610290NYK.html']",,"19,812",
"Sat, Oct 29, 2016",8:00p,New Orleans Pelicans,79,San Antonio Spurs,98,"['Box Score', '/boxscores/201610290SAS.html']",,"18,418",
"Sat, Oct 29, 2016",8:00p,Brooklyn Nets,108,Milwaukee Bucks,110,"['Box Score', '/boxscores/201610290MIL.html']",,"12,570",
"Sat, Oct 29, 2016",8:00p,Indiana Pacers,101,Chicago Bulls,118,"['Box Score', '/boxscores/201610290CHI.html']",,"21,373",
